puzzle,solution
070000043040009610800634900094052000358460020000800530080070091902100005007040802,679518243543729618821634957794352186358461729216897534485276391962183475137945862
301086504046521070500000001400800002080347900009050038004090200008734090007208103,371986524846521379592473861463819752285347916719652438634195287128734695957268143
048301560360008090910670003020000935509010200670020010004002107090100008150834029,748391562365248791912675483421786935589413276673529814834962157296157348157834629
008317000004205109000040070327160904901450000045700800030001060872604000416070080,298317645764285139153946278327168954981453726645792813539821467872634591416579382
040890630000136820800740519000467052450020700267010000520003400010280970004050063,142895637975136824836742519398467152451328796267519348529673481613284975784951263
561092730020780090900005046600000427010070003073000819035900670700103080000000050,561492738324786195987315246659831427418279563273564819135928674746153982892647351
310450900072986143906010508639178020150090806004003700005731009701829350000645010,318457962572986143946312578639178425157294836284563791425731689761829354893645217
800134902041096080005070010008605000406310009023040860500709000010080040000401006,867134952241596783395872614978625431456318279123947865534769128619283547782451396
165293004000001632023060090009175000500900018002030049098000006000000950000429381,165293874974851632823764195489175263536942718712638549398517426241386957657429381
000003610000015007000008090086000700030800100500120309005060904060900530403701008,728493615349615827651278493186539742932847156574126389815362974267984531493751268
